Latitude,Longitude,Species,SeasonStartMonth,SeasonEndMonth
34.18479171,-118.43318458,pecan (Carya illinoinensis),9,11
34.27751462,-118.41426499,peach (Prunus persica),5,8
34.27761902,-118.41441591,white sapote (Casimiroa edulis),11,3
33.96555402,-118.25825471,edible pear (Pyrus communis),8,10
33.96448978,-118.27297813,cherimoya (Annona cherimola),11,3
34.28421578,-118.42249586,citrus (Citrus spp.),11,4
34.27746100,-118.41420723,apricot (Prunus armeniaca),5,6
34.21629706,-118.43294841,citrus (Citrus spp.),11,4
34.21491769,-118.58031638,paper mulberry (Broussonetia papyrifera),4,6
34.27750048,-118.41425001,nectarine (Prunus persica var. nucipersica),6,8
34.19695756,-118.47936223,Java plum (Syzygium cumini),6,8
34.19699478,-118.47923497,cherry plum (Prunus cerasifera),5,7
34.17433220,-118.36913869,olive (Olea europaea),9,11
34.20489449,-118.56608797,avocado (Persea americana),10,5
33.97387319,-118.27245738,citrus (Citrus spp.),11,4
33.98844040,-118.46659173,avocado (Persea americana),10,5
34.20875887,-118.61306514,edible loquat (Eriobotrya japonica),3,5
34.21774536,-118.44428886,olive (Olea europaea),9,11
34.21839317,-118.44449650,cherry plum (Prunus cerasifera),5,7
34.20967222,-118.58505915,apple (Malus domestica),8,10
33.95001800,-118.24354236,edible loquat (Eriobotrya japonica),3,5
34.22480474,-118.43843102,cherimoya (Annona cherimola),11,3
34.28238862,-118.42071154,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.17581369,-118.43395872,avocado (Persea americana),10,5
34.17582197,-118.43375237,lemon (Citrus limon),11,4
33.97551197,-118.26652008,guava (Psidium guajava),8,11
33.94773785,-118.24351571,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.94781001,-118.24351785,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.05254815,-118.19906163,edible loquat (Eriobotrya japonica),3,5
34.16645950,-118.50538038,pomegranate (Punica granatum),9,11
34.24442193,-118.44064736,citrus (Citrus spp.),11,4
34.25796312,-118.41644806,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.25899363,-118.41546749,citrus (Citrus spp.),11,4
34.15009617,-118.53085819,edible fig (Ficus carica),6,9
34.25900640,-118.41544174,citrus (Citrus spp.),11,4
34.22951637,-118.39813680,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.16830789,-118.40123382,edible loquat (Eriobotrya japonica),3,5
34.18949815,-118.37279142,cherry plum (Prunus cerasifera),5,7
34.17457619,-118.37309371,edible loquat (Eriobotrya japonica),3,5
34.17450257,-118.37309285,edible loquat (Eriobotrya japonica),3,5
34.20958724,-118.35302790,apricot (Prunus armeniaca),5,6
34.20963909,-118.35302611,lemon (Citrus limon),11,4
34.22561304,-118.57733532,citrus (Citrus spp.),11,4
34.06959614,-118.17207723,carob (Ceratonia siliqua),8,10
34.21299252,-118.35315277,citrus (Citrus spp.),11,4
34.06332502,-118.18545886,edible loquat (Eriobotrya japonica),3,5
34.05261549,-118.19851473,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.16646537,-118.50537768,edible loquat (Eriobotrya japonica),3,5
34.27914937,-118.45019507,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.22564252,-118.57733889,citrus (Citrus spp.),11,4
34.21789992,-118.41899435,peach (Prunus persica),5,8
34.25824186,-118.42372231,bay laurel (Umbellularia californica),1,12
34.25455660,-118.42874826,guava (Psidium guajava),8,11
34.25739316,-118.42330309,cherry plum (Prunus cerasifera),5,7
34.27062042,-118.40494378,cherry plum (Prunus cerasifera),5,7
34.25770505,-118.41744839,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.24491724,-118.50711413,nectarine (Prunus persica var. nucipersica),6,8
34.24491724,-118.50716264,apple (Malus domestica),8,10
34.25443870,-118.50679253,cherry plum (Prunus cerasifera),5,7
34.25431678,-118.50679343,cherry plum (Prunus cerasifera),5,7
34.25439638,-118.50679792,cherry plum (Prunus cerasifera),5,7
34.27311063,-118.50574689,apple (Malus domestica),8,10
34.27316073,-118.50580169,apple (Malus domestica),8,10
34.27319436,-118.50584301,citrus (Citrus spp.),11,4
34.24488270,-118.43991123,Mandarin orange (Citrus reticulata),11,3
34.18839142,-118.53851833,Japanese persimmon (Diospyros kaki),10,12
34.25790306,-118.42440929,bay laurel (Umbellularia californica),1,12
34.18846454,-118.53851025,Japanese persimmon (Diospyros kaki),10,12
34.18985543,-118.53864769,avocado (Persea americana),10,5
33.94338765,-118.25959097,edible loquat (Eriobotrya japonica),3,5
34.24103530,-118.41057578,southern California black walnut (Juglans californica),9,10
34.22936783,-118.39796433,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.22785207,-118.39636892,citrus (Citrus spp.),11,4
33.94338647,-118.25963090,edible loquat (Eriobotrya japonica),3,5
33.94322559,-118.26036895,edible loquat (Eriobotrya japonica),3,5
34.25798393,-118.42428981,bay laurel (Umbellularia californica),1,12
34.18843333,-118.53850755,Japanese persimmon (Diospyros kaki),10,12
34.15484376,-118.45295688,avocado (Persea americana),10,5
34.21792887,-118.41900156,peach (Prunus persica),5,8
34.22386253,-118.53770536,citrus (Citrus spp.),11,4
34.25834827,-118.42358430,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.25460683,-118.42868853,edible loquat (Eriobotrya japonica),3,5
34.25459917,-118.42868338,edible loquat (Eriobotrya japonica),3,5
34.25459491,-118.42869265,edible loquat (Eriobotrya japonica),3,5
34.25458384,-118.42870089,edible loquat (Eriobotrya japonica),3,5
34.25457363,-118.42872149,edible loquat (Eriobotrya japonica),3,5
34.25457192,-118.42875856,citrus (Citrus spp.),11,4
34.25459065,-118.42872252,peach (Prunus persica),5,8
33.99066058,-118.45516341,Mandarin orange (Citrus reticulata),11,3
34.25332413,-118.41981824,apple (Malus domestica),8,10
33.94194657,-118.25560774,avocado (Persea americana),10,5
34.25255199,-118.47404175,citrus (Citrus spp.),11,4
34.25241722,-118.47404085,edible fig (Ficus carica),6,9
33.93995044,-118.24972481,avocado (Persea americana),10,5
34.19867505,-118.54360046,edible fig (Ficus carica),6,9
33.96695282,-118.27273720,edible loquat (Eriobotrya japonica),3,5
34.25383439,-118.41892065,edible loquat (Eriobotrya japonica),3,5
33.96654193,-118.26395492,avocado (Persea americana),10,5
34.26269696,-118.47419447,citrus (Citrus spp.),11,4
34.11827242,-118.24311004,guava (Psidium guajava),8,11
34.26259911,-118.47423130,citrus (Citrus spp.),11,4
33.94239578,-118.25226413,avocado (Persea americana),10,5
33.94239658,-118.25227784,sweet cherry (Prunus avium),5,6
